origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-27T11:58:35.287409Z,64.057936,-21.184410,4.3146,0.63,0.460,true,0.513,0.157,-0.408,0.040,77,0.406,0.017,0.271,-0.007,17,0,5.284,8.485,14.727,407,0,490,0,-0.0327,0.0067,-0.0002,0.0014
2021-01-27T11:51:57.040552Z,64.053741,-21.268226,3.1982,0.33,0.259,true,0.392,0.121,-0.072,0.009,90,0.191,0.016,0.161,0.064,14,6,3.770,5.925,8.380,562,97,226,127,-0.0052,0.0127,-0.0006,0.0014
2021-01-27T00:58:55.251836Z,64.107493,-21.250360,4.4866,0.59,0.041,true,0.154,0.213,-0.811,-0.091,55,0.417,0.155,0.193,-0.026,14,0,4.779,7.108,14.073,169,0,330,0,-0.0223,0.0110,-0.0006,0.0020
2021-01-26T13:36:08.536194Z,64.052273,-21.390797,3.6619,0.00,0.264,true,0.335,0.159,0.824,-0.045,51,0.374,0.170,0.133,0.020,7,5,5.534,6.195,7.824,170,40,92,50,-0.0084,0.0139,-0.0009,0.0016
2021-01-24T23:06:21.044008Z,64.061091,-21.174002,5.0237,0.21,0.226,true,0.223,0.208,0.335,-0.001,81,0.498,0.146,0.342,-0.083,13,2,5.734,8.703,11.949,200,36,640,75,-0.0001,0.0043,-0.0002,0.0012
2021-01-24T21:58:38.579517Z,64.064043,-21.253866,4.0328,-0.07,0.159,true,0.164,0.242,0.043,0.003,60,0.376,0.113,0.129,0.050,9,1,4.409,6.906,8.614,164,46,267,5,-0.0126,0.0084,-0.0000,0.0006
2021-01-24T21:02:34.561655Z,64.064244,-21.253306,4.0291,0.16,0.142,true,0.136,0.074,0.122,-0.007,77,0.260,0.025,0.156,0.001,18,4,4.406,7.623,11.659,320,53,550,131,-0.0018,0.0046,-0.0000,0.0005
2021-01-24T19:09:55.388926Z,64.110637,-21.262646,5.3470,-0.27,0.227,true,0.207,0.408,0.380,-0.050,54,0.518,0.193,0.187,-0.168,11,5,5.683,8.070,11.968,152,15,292,88,-0.0026,0.0191,-0.0007,0.0012
2021-01-24T18:33:51.973923Z,64.051314,-21.392250,3.5405,-0.16,0.203,true,0.549,0.335,-0.279,0.017,62,0.532,0.157,0.311,-0.021,11,6,3.874,5.814,7.845,194,45,287,65,-0.0156,0.0151,-0.0001,0.0042
2021-01-24T12:44:05.416914Z,64.049274,-21.241840,3.4136,-0.08,0.406,true,0.415,0.449,0.207,-0.070,53,0.382,0.155,0.127,-0.030,11,6,4.131,6.204,9.619,136,43,254,143,-0.0056,0.0179,-0.0006,0.0010
